Id,K-Shell
1.66317742314217E+018,18
1.69621756725209E+018,28
1.70692093438328E+018,27
1726365372,22
1738362248,26
1.75055589004064E+018,16
1.82298699825401E+018,29
3389061226,22
8.02568995455009E+017,27
8.32347323585982E+017,27
8.5138679062782E+017,29
8.68412740062327E+017,12
9.21756626654286E+017,29
9.49000293924078E+017,1
1.0866248360913E+018,1
1.08662539660537E+018,1
1.57354143614588E+018,1
1.08666401404477E+018,6
1.5747216849299E+018,2
1.64436235461903E+018,1
1.08667620827482E+018,1
1.08668537420482E+018,1
87694370,1
1.08673781686685E+018,1
1.08699371885349E+018,4
1.08703772569236E+018,1
1.0871170157715E+018,24
1.43900133136101E+018,12
1.77993091147728E+018,7
3189754680,6
1.08728638536147E+018,1
1.70091723790789E+018,1
1.08763015357923E+018,1
1.08767107264698E+018,6
1.0877068364328E+018,1
1.08773891075367E+018,2
1.08822252904142E+018,5
1.10001870188818E+018,4
1.71955137076256E+018,2
626366007,1
1.08850491481959E+018,2
1.55273457117898E+018,22
1.62892163980188E+018,2
1.08856683369791E+018,3
1.65022836247065E+018,1
3236926950,21
1.08885834919677E+018,2
1.25554832117261E+018,7
1.46381336313015E+018,12
1.54612487959393E+018,7
1.08958836522004E+018,1
1.57263521295303E+018,9
1.08984282959205E+018,1
1.73028942175533E+018,2
1.09052766411135E+018,1
1.39977420332744E+018,1
1090541490,3
1.09085452828978E+018,1
1.09103450822742E+018,1
1.09110337189602E+018,9
1.30686025900541E+018,13
1.09153298199758E+018,1
8.37435466588668E+017,1
1.0919399606038E+018,2
1.24759459032619E+018,22
1092106034,1
8.95538480192868E+017,4
1.09238712826307E+018,1
1.09265695460495E+018,2
1.09357410038623E+018,4
1093795578,1
1.09400711704706E+018,1
1.09437012977168E+018,1
1.09446356299773E+018,13
1.17367213377346E+018,29
1.21203841197388E+018,17
1.35367012653774E+018,4
1.36029929745202E+018,4
1.41503770108724E+018,25
1.62070206461447E+018,12
1.66745502812933E+018,26
1.7019613053373E+018,29
1.70302288589006E+018,28
1.78747772109158E+018,21
1.83576617140195E+018,19
2205932795,7
7.17318722638193E+017,29
7.45387211516842E+017,19
8.05675398403162E+017,26
8.21329775943893E+017,7
8.46375882184806E+017,24
8.67750080249549E+017,15
9.61507772692029E+017,28
1.09467541832885E+018,3
1.09499681102101E+018,5
1.09506008768786E+018,1
1.09522967209748E+018,1
1.09526826286508E+018,2
1.58354408489088E+018,15
1.09529729022973E+018,1
1.0956325632536E+018,1
2234836537,5
1.09569177329545E+018,8
1.24501711273473E+018,19
1.30509162670506E+018,12
